MAIN_LANGUAGE_DETAILED_94A,num_MAIN_LANGUAGE_DETAILED_94A,dat_11,common_cats
African language: Somali,77,African Language: Somali,African language: Somali
African language: Krio,78,African Language: Krio,African language: Krio
African language: Akan,79,African Language: Akan,African language: Akan
African language: Yoruba,80,African Language: Yoruba,African language: Yoruba
African language: Igbo,81,African Language: Igbo,African language: Igbo
African language: Swahili or Kiswahili,82,African Language: Swahili/Kiswahili,African language: Swahili or Kiswahili
African language: Luganda,83,African Language: Luganda,African language: Luganda
African language: Lingala,84,African Language: Lingala,African language: Lingala
African language: Shona,85,African Language: Shona,African language: Shona
African language: Afrikaans,86,African Language: Afrikaans,African language: Afrikaans
African language: Any other Nigerian language,87,African Language: Any other Nigerian language,African language: Any other Nigerian language
African language: Any other West African language,88,African Language: West African language (all other),African language: Any other West African language
African language: Any other African language,89,African Language: African language (all other),African language: Any other African language
Sign language: British Sign Language,90,Sign Language: British sign language,Sign language: British Sign Language
Sign language: Any other Sign language,91,Sign Language: Sign Language (all other),Sign language: Any other Sign language
Sign language: Any Sign communication system,92,Sign Language: Any Sign Communication System,Sign language: Any Sign communication system
Other language,93,Other Languages: All other languages,Other language
,,,
