date,geography,geography_code,Rural_Urban,total_pop,value,passports_region,passports,percs
2011,England,"",Total,48028292,8600,Middle East and Asia,Afghanistan,0
2011,England,"",Total,48028292,28899,Middle East and Asia,Bangladesh,0.1
2011,England,"",Total,48028292,2771,Middle East and Asia,Central Asia,0
2011,England,"",Total,48028292,69898,Middle East and Asia,China,0.1
2011,England,"",Total,48028292,7574,Middle East and Asia,Hong Kong,0
2011,England,"",Total,48028292,185473,Middle East and Asia,India,0.4
2011,England,"",Total,48028292,10787,Middle East and Asia,Iran,0
2011,England,"",Total,48028292,7526,Middle East and Asia,Iraq,0
2011,England,"",Total,48028292,12495,Middle East and Asia,Japan,0
2011,England,"",Total,48028292,23412,Middle East and Asia,Malaysia,0
2011,England,"",Total,48028292,10474,Middle East and Asia,Other Eastern Asia,0
2011,England,"",Total,48028292,36650,Middle East and Asia,Other Middle East,0.1
2011,England,"",Total,48028292,28792,Middle East and Asia,Other South-East Asia,0.1
2011,England,"",Total,48028292,27306,Middle East and Asia,Other Southern Asia,0.1
2011,England,"",Total,48028292,103579,Middle East and Asia,Pakistan,0.2
2011,England,"",Total,48028292,42968,Middle East and Asia,Philippines,0.1
2011,England,"",Total,48028292,4642,Middle East and Asia,Singapore,0
2011,England,"",Total,48028292,15681,Middle East and Asia,Sri Lanka,0
2011,England,"",Total,48028292,8706537,No passport held,No passport held,18.1
2011,England,"",Total,48028292,21953,The Americas and the Caribbean,Canada,0
2011,England,"",Total,48028292,4794,The Americas and the Caribbean,Central America,0
2011,England,"",Total,48028292,15534,The Americas and the Caribbean,Jamaica,0
2011,England,"",Total,48028292,8139,The Americas and the Caribbean,Other Caribbean,0
2011,England,"",Total,48028292,22047,The Americas and the Caribbean,South America,0
2011,England,"",Total,48028292,77774,The Americas and the Caribbean,United States,0.2
