date,geography,geography_code,Rural_Urban,total_pop,value,passports_region,passports,percs
2011,North East,E12000001,Total,2901250,207,Africa,Ghana,0
2011,North West,E12000002,Total,7869972,2325,Africa,Ghana,0
2011,Yorkshire and The Humber,E12000003,Total,5854365,1750,Africa,Ghana,0
2011,East Midlands,E12000004,Total,5247264,1707,Africa,Ghana,0
2011,West Midlands,E12000005,Total,6225632,2346,Africa,Ghana,0
2011,East,E12000006,Total,6409180,4193,Africa,Ghana,0.1
2011,London,E12000007,Total,8872079,29251,Africa,Ghana,0.3
2011,South East,E12000008,Total,9592834,4513,Africa,Ghana,0
2011,South West,E12000009,Total,6078543,1044,Africa,Ghana,0
2011,North East,E12000001,Total,2901250,2233,Africa,Nigeria,0.1
2011,North West,E12000002,Total,7869972,10413,Africa,Nigeria,0.1
2011,Yorkshire and The Humber,E12000003,Total,5854365,4451,Africa,Nigeria,0.1
2011,East Midlands,E12000004,Total,5247264,5369,Africa,Nigeria,0.1
2011,West Midlands,E12000005,Total,6225632,6710,Africa,Nigeria,0.1
2011,East,E12000006,Total,6409180,8969,Africa,Nigeria,0.1
2011,London,E12000007,Total,8872079,63123,Africa,Nigeria,0.7
2011,South East,E12000008,Total,9592834,8712,Africa,Nigeria,0.1
2011,South West,E12000009,Total,6078543,2206,Africa,Nigeria,0
2011,North East,E12000001,Total,2901250,461,Africa,Other Central and Western Africa,0
2011,North West,E12000002,Total,7869972,2322,Africa,Other Central and Western Africa,0
2011,Yorkshire and The Humber,E12000003,Total,5854365,2099,Africa,Other Central and Western Africa,0
2011,East Midlands,E12000004,Total,5247264,1349,Africa,Other Central and Western Africa,0
2011,West Midlands,E12000005,Total,6225632,3465,Africa,Other Central and Western Africa,0.1
2011,East,E12000006,Total,6409180,1468,Africa,Other Central and Western Africa,0
2011,London,E12000007,Total,8872079,17071,Africa,Other Central and Western Africa,0.2
2011,South East,E12000008,Total,9592834,3159,Africa,Other Central and Western Africa,0
2011,South West,E12000009,Total,6078543,1116,Africa,Other Central and Western Africa,0
